"Skilled Tire","Pell Dudley",19.04.2015,03.07.2015,634937.00
"Stony Knife","Ballard Ridley",15.02.2015,11.11.2015,267142.00
"Doorstop Risky","Bradly Noonan",28.02.2015,13.08.2015,330603.00
"Aggressive Fist","Krista Stamper",08.04.2015,15.09.2015,58626.00
"Empty Reborn Cloud","Lina Southey",22.04.2015,23.11.2015,3696.00
"Lucky Sunshine","Tavia Chatham",18.01.2015,27.09.2015,535424.00
"Solid Waffle","Ballard Ridley",20.06.2015,18.10.2015,106093.00
"Lucky Trendy","Iris Allerton",17.02.2015,23.12.2015,920068.00
"Red Scarecrow","Edmund Nottley",05.06.2015,03.09.2015,810767.00
"Frostbite Black","Ballard Ridley",05.03.2015,20.10.2015,278322.00
"Lucky Puppet","Tavia Chatham",21.01.2015,03.11.2015,128992.00
"Supersonic Oyster","Elmore Shelly",16.01.2015,15.08.2015,755794.00
"Toupee Liquid","Fearn Hayden",27.01.2015,10.08.2015,956311.00
"Tainted Tasty Tea","Iris Allerton",08.01.2015,15.07.2015,205097.00
"Eastern Galaxy","Xavier Abram",13.05.2015,04.07.2015,529133.00
"Outstanding Viper","Bradly Noonan",09.01.2015,06.07.2015,133021.00
